Invoice/Item Number,Date,Store Number,City,Zip Code,Item Number,Item Description,Pack,Bottle Volume (ml),Bottles Sold,Sale (Dollars),Volume Sold (Liters)
INV-11225000001,03/30/2018,3773,Cedar Rapids,52401,19226,Knob Creek,6,750,2,$179.46,1.50
INV-11224900025,03/30/2018,4453,Forest City,50436,65251,Jagermeister Liqueur Mini,5,1200,1,$44.30,1.20
INV-11224900024,03/30/2018,4453,Forest City,50436,73051,Rumchata Mini,12,500,2,$13.31,1.00
INV-11224900023,03/30/2018,4453,Forest City,50436,73052,Rumchata,12,375,1,$10.50,0.37
INV-11224900022,03/30/2018,4453,Forest City,50436,75211,Kinky Liqueur,12,750,1,$15.00,0.75
INV-11224900021,03/30/2018,4453,Forest City,50436,29998,Five O'clock Gin,6,1750,1,$11.00,1.75
INV-11224900020,03/30/2018,4453,Forest City,50436,43501,Bacardi Raspberry,12,750,2,$12.38,1.50
INV-11224900019,03/30/2018,4453,Forest City,50436,42699,Malibu Mango Rum,12,750,3,$11.24,2.25
INV-11224900018,03/30/2018,4453,Forest City,50436,67266,Yukon Jack Canadian Liqueur,12,750,1,$13.88,0.75
INV-11224900017,03/30/2018,4453,Forest City,50436,8825,Lauder's Scotch Traveler,12,750,1,$7.70,0.75
INV-11224900016,03/30/2018,4453,Forest City,50436,41076,Jeremiah Weed Sweet Tea Vodka,12,750,1,$15.09,0.75
INV-11224900015,03/30/2018,4453,Forest City,50436,19064,Jim Beam,24,375,1,$8.25,0.37
INV-11224900014,03/30/2018,4453,Forest City,50436,67264,Yukon Jack Canadian Liqueur,24,375,1,$7.88,0.37
INV-11224900013,03/30/2018,4453,Forest City,50436,48106,Hennessy Vs Cognac,12,750,3,$29.99,2.25
INV-11224900012,03/30/2018,4453,Forest City,50436,76038,Midnight Moon Cherry,6,750,1,$17.25,0.75
INV-11224900011,03/30/2018,4453,Forest City,50436,64858,Fireball Cinnamon Whiskey Mini Dispenser,1,3000,1,$45.00,3.00
INV-11224900010,03/30/2018,4453,Forest City,50436,43024,Admiral Nelson Spiced Rum,24,375,1,$98.64,0.37
INV-11224900009,03/30/2018,4453,Forest City,50436,37994,Smirnoff 80prf,24,375,1,$171.12,0.37
INV-11224900008,03/30/2018,4453,Forest City,50436,12404,Canadian Ltd Whisky,24,375,1,$73.92,0.37
INV-11224900007,03/30/2018,4453,Forest City,50436,11788,Black Velvet,6,1750,1,$94.08,1.75
INV-11224900006,03/30/2018,4453,Forest City,50436,36304,Hawkeye Vodka,24,375,1,$66.96,0.37
INV-11224900005,03/30/2018,4453,Forest City,50436,12407,Canadian Ltd Whisky,12,1000,1,$99.00,1.00
INV-11224900004,03/30/2018,4453,Forest City,50436,12668,Canadian Woods Canadian Why,6,1750,1,$85.44,1.75
INV-11224900003,03/30/2018,4453,Forest City,50436,43028,Admiral Nelson Spiced Rum,6,1750,1,$103.98,1.75
INV-11224900002,03/30/2018,4453,Forest City,50436,37347,Phillips Vodka,12,1000,1,$77.28,1.00
INV-11224900001,03/30/2018,4453,Forest City,50436,37348,Phillips Vodka,6,1750,1,$68.40,1.75
INV-11224800070,03/30/2018,4073,Forest City,50436,36308,Hawkeye Vodka,6,1750,1,$64.56,1.75
INV-11224800069,03/30/2018,4073,Forest City,50436,77324,Rondiaz Rum Spiced Black Cherry,6,1750,1,$90.00,1.75
